Codigo,NOMBRE,GRUPO,NUM_GRUPO,AGUA(%),Energia(kcal),Proteina(g),Grasa_Total(g),HDC(g),Fibra_Dietetica(g),Ceniza(g),Calcio(mg),Fosforo(mg),Hierro(mg),Tiamina(mg),Riboflabina(g),Niacina(g),Vita_C(mg),Vita_A_EQ_Retinol(mcg),A_G_mono(g),A_G_Poli(g),A_G_Saturados(g),Colesterol(mg),Potasio(mg),Sodio(mg),Zinc(mg),Magnesio(mg),Vita_B6,Bita_B12,Acido_Folico(mcg),Folato_Eq_FD(mcg),Aprovecha(%)
1001,"CREMA, ESPESA","Leche, quesos y similares",1,57.71,345,2.05,37,2.79,0,0.45,65,62,0.03,0.02,0.11,0.04,1,411,10.69,1.37,23.03,137,75,38,0.23,7,0.03,0.18,0,4,1
1002,"CREMA, RALA","Leche, quesos y similares",1,73.75,195,2.7,19.31,3.66,0,0.58,96,80,0.04,0.03,0.15,0.06,1,181,5.58,0.72,12.02,66,122,40,0.27,9,0.03,0.22,0,2,1
1003,"CREMA, SUSTITUTO NO LACTEO,  EN POLVO","Leche, quesos y similares",1,2.21,546,4.79,35.48,54.88,0,2.64,22,422,1.15,0,0.17,0,0,2,0.97,0.01,32.53,0,812,181,0.51,4,0,0,0,0,1
1004,"LECHE DE BURRA, FLUIDA","Leche, quesos y similares",1,90.2,43,1.7,1.2,6.5,,0.4,126,57,0.2,0.02,0.09,0.1,2,,,,,,,,,,,,,,1
1005,"LECHE DE CABRA, FLUIDA","Leche, quesos y similares",1,87.03,69,3.56,4.14,4.45,0,0.82,134,111,0.05,0.05,0.14,0.28,1,57,1.11,0.15,2.67,11,204,50,0.3,14,0.05,0.07,0,1,1
1007,"LECHE HUMANA, FLUIDA","Leche, quesos y similares",1,87.5,45,1,1.5,6.9,,,32,,0.1,0.01,0.04,0.2,5,64,0.74,0.19,1.01,4,51,17,0.17,3,0.01,0.04,5,,1
1008,"LECHE DE VACA, CHOCOLATADA, FLUIDA, BAJA EN GRASA","Leche, quesos y similares",1,82.17,76,2.99,1.9,12.13,0.7,0.81,109,76,0.24,0.05,0.56,0.16,0,64,0.46,0.09,1.18,8,123,66,0.39,14,0.02,0.33,0,2,1
1009,"LECHE DE VACA, CONDENSADA C/AZUCAR, ENLAT,","Leche, quesos y similares",1,27.16,321,7.91,8.7,54.4,0,1.83,284,253,0.19,0.09,0.42,0.21,3,74,2.43,0.34,5.49,34,371,127,0.94,26,0.05,0.44,0,11,1
1010,"LECHE DE VACA, SEMIDESCREMADA (2 % GRASA), FLUIDA","Leche, quesos y similares",1,89.33,50,3.3,1.97,4.68,0,0.71,117,94,0.03,0.04,0.19,0.09,0,55,0.56,0.07,1.26,8,150,41,0.43,11,0.04,0.46,0,5,1
1011,"LECHE DE VACA, DESCREMADA S/VIT A,  EN POLVO","Leche, quesos y similares",1,3.16,362,36.16,0.77,51.98,0,7.93,1257,968,0.32,0.41,1.55,0.95,7,6,0.2,0.03,0.5,20,1794,535,4.08,110,0.36,4.03,0,50,1
1012,"LECHE DE VACA, DESCREMADA C/VIT A,  EN POLVO","Leche, quesos y similares",1,3.16,362,36.16,0.77,51.98,0,7.93,1257,968,0.32,0.41,1.55,0.95,7,653,0.2,0.03,0.5,20,1794,535,4.08,110,0.36,4.03,0,50,1
1013,"LECHE DE VACA, DESCREMADA C/VIT A,  EN POLVO INSTANTANEA","Leche, quesos y similares",1,3.96,358,35.1,0.72,52.19,0,8.03,1231,985,0.31,0.41,1.74,0.89,6,709,0.19,0.03,0.47,18,1705,549,4.41,117,0.34,3.99,0,50,1
1014,"LECHE DE VACA, INTEGRA, EVAPORADA C/VIT A, ENLAT,","Leche, quesos y similares",1,74.04,134,6.81,7.56,10.04,0,1.55,261,203,0.19,0.05,0.32,0.19,2,112,2.34,0.25,4.59,29,303,106,0.77,24,0.05,0.16,0,8,1
1015,"LECHE DE VACA, INTEGRA, FLUIDA (3,25% GRASA)","Leche, quesos y similares",1,88.32,60,3.22,3.25,4.52,0,0.69,113,91,0.03,0.04,0.18,0.11,0,28,0.81,0.19,1.87,10,143,40,0.4,10,0.04,0.44,0,5,1
1016,"LECHE DE VACA, INTEGRA, EN POLVO","Leche, quesos y similares",1,2.47,496,26.32,26.71,38.42,0,6.08,912,776,0.47,0.28,1.21,0.65,9,257,7.92,0.67,16.74,97,1330,371,3.34,85,0.3,3.25,0,37,1
